"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","PK","PKatt","Int","TklW","Fls","Fld","Crs","Off","OG","GA","Saves","SoTA","CS","G_PK","Save_pct","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur","nineties","Gls_90","Ast_90","Sh_90","SoT_90","Int_90","TklW_90","Crs_90","GA_90","low_sample"
"Ryan Rodin",2006,"fr FRA","MF","Auxerre","fr Ligue 1",19,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Ryan Rodin",NA,"Ryan Rodin","Ryan Rodin","AJ Auxerre","ligue-1","Attack","Centre-Forward","2006-03-02","France",300000,0.288888888888889,0,0,0,0,0,0,0,0,TRUE
"Ryan Sessegnon",2000,"eng ENG","DF,MF","Fulham","eng Premier League",25,27,1823,3,1,16,4,0,0,0,0,23,29,33,3,55,4,0,0,0,0,0,3,NA,"Ryan Sessegnon",NA,"Ryan Sessegnon","Ryan Sessegnon","Fulham FC","premier-league","Defender","Left-Back","2000-05-18","England",22000000,20.2555555555556,0.15,0.05,0.79,0.2,1.14,1.43,2.72,0,FALSE
"Ryan Yates",1997,"eng ENG","MF","Nottingham Forest","eng Premier League",27,22,617,0,2,9,2,3,0,0,0,9,10,13,13,5,0,0,0,0,0,0,0,NA,"Ryan Yates",NA,"Ryan Yates","Ryan Yates","Nottingham Forest","premier-league","Midfield","Central Midfield","1997-11-21","England",7000000,6.85555555555556,0,0.29,1.31,0.29,1.31,1.46,0.73,0,FALSE
"Rémi Himbert",2008,"fr FRA","FW","Lyon","fr Ligue 1",17,6,131,1,0,10,1,0,0,0,0,0,3,2,4,2,0,0,0,0,0,0,1,NA,"Remi Himbert",NA,"Remi Himbert","Rémi Himbert","Olympique Lyon","ligue-1","Attack","Left Winger","2008-02-29","France",10000000,1.45555555555556,0.69,0,6.87,0.69,0,2.06,1.37,0,TRUE
"Rémy Descamps",1996,"fr FRA","GK","Lyon","fr Ligue 1",29,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,17,4,0,82.4,"Remy Descamps",NA,"Remy Descamps","Rémy Descamps","Olympique Lyon","ligue-1","Goalkeeper","Goalkeeper","1996-06-25","France",1500000,5,0,0,0,0,0,0,0,0.6,FALSE
"Rémy Labeau Lascary",2003,"gp GLP","MF,FW","Brest","fr Ligue 1",22,27,1200,5,1,34,16,2,0,0,0,4,11,29,18,12,9,0,0,0,0,0,5,NA,"Remy Labeau Lascary",NA,"Remy Labeau Lascary","Rémy Labeau Lascary","Stade Brestois 29","ligue-1","Attack","Centre-Forward","2003-03-03","France",4000000,13.3333333333333,0.38,0.07,2.55,1.2,0.3,0.82,0.9,0,FALSE
"Rômulo",2002,"br BRA","FW","RB Leipzig","de Bundesliga",23,30,2188,9,4,63,27,3,0,0,1,11,19,20,20,0,8,1,0,0,0,0,9,NA,"Romulo",NA,"Romulo","Rômulo","RB Leipzig","bundesliga","Attack","Centre-Forward","2002-02-08","Brazil",30000000,24.3111111111111,0.37,0.16,2.59,1.11,0.45,0.78,0,0,FALSE
"Rúben Dias",1997,"pt POR","DF","Manchester City","eng Premier League",28,26,2141,2,0,10,4,3,0,0,0,23,6,15,9,9,0,0,0,0,0,0,2,NA,"Ruben Dias",NA,"Ruben Dias","Rúben Dias","Manchester City","premier-league","Defender","Centre-Back","1997-05-14","Portugal",55000000,23.7888888888889,0.08,0,0.42,0.17,0.97,0.25,0.38,0,FALSE
"Saba Goglichidze",2004,"ge GEO","DF","Udinese","it Serie A",21,8,424,0,0,3,1,2,0,0,0,8,8,5,4,2,0,0,0,0,0,0,0,NA,"Saba Goglichidze",NA,"Saba Goglichidze","Saba Goglichidze","Udinese Calcio","serie-a","Defender","Centre-Back","2004-06-25","Georgia",3500000,4.71111111111111,0,0,0.64,0.21,1.7,1.7,0.42,0,TRUE
"Sacha Boey",2000,"fr FRA","DF","Bayern Munich","de Bundesliga",24,9,463,0,0,6,0,1,0,0,0,7,4,10,8,6,0,0,0,0,0,0,0,NA,"Sacha Boey",NA,"Sacha Boey","Sacha Boey","Bayern Munich","bundesliga","Defender","Right-Back","2000-09-13","France",10000000,5.14444444444444,0,0,1.17,0,1.36,0.78,1.17,0,FALSE
"Sadibou Sané",2004,"sn SEN","DF","Metz","fr Ligue 1",21,23,1940,2,1,6,2,5,2,0,0,39,34,22,15,4,0,1,0,0,0,0,2,NA,"Sadibou Sane",NA,"Sadibou Sane","Sadibou Sané","FC Metz","ligue-1","Defender","Centre-Back","2004-06-10","Senegal",7000000,21.5555555555556,0.09,0.05,0.28,0.09,1.81,1.58,0.19,0,FALSE
"Sadik Fofana",2003,"tg TOG","MF","Lecce","it Serie A",22,5,84,0,0,2,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,NA,"Sadik Fofana",NA,"Sadik Fofana","Sadik Fofana","US Lecce","serie-a","Midfield","Defensive Midfield","2003-05-16","Togo",800000,0.933333333333333,0,0,2.14,0,0,2.14,0,0,TRUE
"Sael Kumbedi",2005,"fr FRA","DF,MF","Wolfsburg","de Bundesliga",20,25,1869,0,5,6,0,3,0,0,0,15,33,25,20,42,4,0,0,0,0,0,0,NA,"Sael Kumbedi",NA,"Sael Kumbedi","Saël Kumbedi","Olympique Lyon","ligue-1","Defender","Right-Back","2005-03-26","France",12000000,20.7666666666667,0,0.24,0.29,0,0.72,1.59,2.02,0,FALSE
"Said El Mala",2006,"de GER","FW,MF","Köln","de Bundesliga",18,34,1956,13,4,74,30,4,0,1,1,8,14,15,23,39,18,0,0,0,0,0,12,NA,"Said El Mala",NA,"Said El Mala","Said El Mala","1.FC Köln","bundesliga","Attack","Left Winger","2006-08-26","Germany",45000000,21.7333333333333,0.6,0.18,3.4,1.38,0.37,0.64,1.79,0,FALSE
"Salih Özcan",1998,"tr TUR","MF","Dortmund","de Bundesliga",27,11,81,0,0,1,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,NA,"Salih Ozcan",NA,"Salih Ozcan","Salih Özcan","Borussia Dortmund","bundesliga","Midfield","Defensive Midfield","1998-01-11","Türkiye",3500000,0.9,0,0,1.11,0,0,2.22,2.22,0,TRUE
"Salim Musah",2006,"de GER","FW","Werder Bremen","de Bundesliga",19,8,198,1,0,7,4,0,0,0,0,2,1,4,3,1,1,0,0,0,0,0,1,NA,"Salim Musah",NA,"Salim Musah","Salim Musah","SV Werder Bremen","bundesliga","Attack","Centre-Forward","2006-02-22","Germany",2000000,2.2,0.45,0,3.18,1.82,0.91,0.45,0.45,0,TRUE
"Salis Abdul Samed",2000,"gh GHA","MF","Nice","fr Ligue 1",25,18,911,0,0,1,0,3,0,0,0,11,7,19,10,2,0,0,0,0,0,0,0,NA,"Salis Abdul Samed",NA,"Salis Abdul Samed","Salis Abdul Samed","OGC Nice","ligue-1","Midfield","Defensive Midfield","2000-03-26","Ghana",4000000,10.1222222222222,0,0,0.1,0,1.09,0.69,0.2,0,FALSE
"Sam Beukema",1998,"nl NED","DF","Napoli","it Serie A",26,24,1681,2,0,8,4,2,0,0,0,14,17,19,5,6,1,0,0,0,0,0,2,NA,"Sam Beukema",NA,"Sam Beukema","Sam Beukema","SSC Napoli","serie-a","Defender","Centre-Back","1998-11-17","Netherlands",22000000,18.6777777777778,0.11,0,0.43,0.21,0.75,0.91,0.32,0,FALSE
"Sam Byram",1993,"eng ENG","DF,MF","Leeds United","eng Premier League",31,2,9,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NA,"Sam Byram",NA,"Sam Byram","Sam Byram","Leeds United","premier-league","Defender","Left-Back","1993-09-16","England",400000,0.1,0,0,0,0,0,10,0,0,TRUE
"Sam Johnstone",1993,"eng ENG","GK","Wolves","eng Premier League",32,12,1080,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,24,39,62,0,0,62.9,"Sam Johnstone",NA,"Sam Johnstone","Sam Johnstone","Wolverhampton Wanderers","premier-league","Goalkeeper","Goalkeeper","1993-03-25","England",2000000,12,0,0,0,0,0,0.08,0,2,FALSE
"Samba Konaté",2009,"fr FRA","FW","RB Leipzig","de Bundesliga",16,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"Samba Konate",NA,"Samba Konate","Samba Konaté","RB Leipzig","bundesliga","Attack","Centre-Forward","2009-02-27","France",1000000,0.0444444444444444,0,0,22.5,0,0,0,0,0,TRUE
"Sambou Soumano",2001,"sn SEN","FW","Lorient","fr Ligue 1",24,31,941,4,2,28,10,2,0,0,1,4,4,16,18,0,10,0,0,0,0,0,4,NA,"Sambou Soumano",NA,"Sambou Soumano","Sambou Soumano","FC Lorient","ligue-1","Attack","Centre-Forward","2001-01-03","Senegal",3500000,10.4555555555556,0.38,0.19,2.68,0.96,0.38,0.38,0,0,FALSE
"Samir Chergui",1999,"dz ALG","DF","Paris FC","fr Ligue 1",26,15,1154,1,0,13,4,1,0,0,0,13,12,14,4,6,1,0,0,0,0,0,1,NA,"Samir Chergui",NA,"Samir Chergui","Samir Chergui","Paris FC","ligue-1","Defender","Centre-Back","1999-02-06","Algeria",3000000,12.8222222222222,0.08,0,1.01,0.31,1.01,0.94,0.47,0,FALSE
"Samir El Mourabet",2005,"ma MAR","MF","Strasbourg","fr Ligue 1",19,33,2128,1,2,12,1,4,0,0,0,27,37,23,26,18,3,0,0,0,0,0,1,NA,"Samir El Mourabet",NA,"Samir El Mourabet","Samir El Mourabet","RC Strasbourg Alsace","ligue-1","Midfield","Central Midfield","2005-10-06","Morocco",22000000,23.6444444444444,0.04,0.08,0.51,0.04,1.14,1.56,0.76,0,FALSE
"Samson Baidoo",2004,"at AUT","DF","Lens","fr Ligue 1",21,23,1827,2,1,16,4,2,0,0,0,25,23,20,5,0,1,0,0,0,0,0,2,NA,"Samson Baidoo",NA,"Samson Baidoo","Samson Baidoo","RC Lens","ligue-1","Defender","Centre-Back","2004-03-31","Austria",25000000,20.3,0.1,0.05,0.79,0.2,1.23,1.13,0,0,FALSE
"Samu Becerra",2006,"es ESP","MF","Rayo Vallecano","es La Liga",19,3,12,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,NA,"Samu Becerra",NA,"Samu Becerra","Samu Becerra","Rayo Vallecano","laliga","Midfield","Central Midfield","2006-06-01","Spain",300000,0.133333333333333,0,0,0,0,0,0,15,0,TRUE
"Samu Costa",2000,"pt POR","MF","Mallorca","es La Liga",24,34,2697,7,2,39,16,11,0,0,0,26,37,64,68,30,6,0,0,0,0,0,7,NA,"Samu Costa",NA,"Samu Costa","Samú Costa","RCD Mallorca","laliga","Midfield","Defensive Midfield","2000-11-27","Portugal",15000000,29.9666666666667,0.23,0.07,1.3,0.53,0.87,1.23,1,0,FALSE
"Samuel Amo-Ameyaw",2006,"eng ENG","MF,DF","Strasbourg","fr Ligue 1",19,25,1047,2,2,17,5,2,0,0,0,3,12,15,26,50,2,0,0,0,0,0,2,NA,"Samuel Amo-Ameyaw",NA,"Samuel Amo-Ameyaw","Samuel Amo-Ameyaw","RC Strasbourg Alsace","ligue-1","Attack","Right Winger","2006-07-18","England",8000000,11.6333333333333,0.17,0.17,1.46,0.43,0.26,1.03,4.3,0,FALSE
"Samuel Chukwueze",1999,"ng NGA","MF","Fulham","eng Premier League",26,24,1105,3,4,25,7,0,0,0,0,6,4,5,15,46,3,0,0,0,0,0,3,NA,"Samuel Chukwueze",NA,"Samuel Chukwueze","Samuel Chukwueze","AC Milan","serie-a","Attack","Right Winger","1999-05-22","Nigeria",18000000,12.2777777777778,0.24,0.33,2.04,0.57,0.49,0.33,3.75,0,FALSE
"Samuel Iling-Junior",2003,"eng ENG","MF","Pisa","it Serie A",21,5,110,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,NA,"Samuel Iling-Junior",NA,"Samuel Iling-Junior","Samuel Iling-Junior","Pisa Sporting Club","serie-a","Midfield","Left Midfield","2003-10-04","England",6500000,1.22222222222222,0,0,0,0,0,1.64,4.09,0,TRUE
"Samuel Mbangula",2004,"be BEL","MF,FW","Werder Bremen","de Bundesliga",21,26,1171,3,2,17,8,0,0,0,0,3,10,4,23,23,4,0,0,0,0,0,3,NA,"Samuel Mbangula",NA,"Samuel Mbangula","Samuel Mbangula","SV Werder Bremen","bundesliga","Attack","Left Winger","2004-01-16","Belgium",8000000,13.0111111111111,0.23,0.15,1.31,0.61,0.23,0.77,1.77,0,FALSE
"Samuele Angori",2003,"it ITA","MF","Pisa","it Serie A",21,35,2599,0,2,14,3,2,0,0,0,23,25,17,54,165,3,0,0,0,0,0,0,NA,"Samuele Angori",NA,"Samuele Angori","Samuele Angori","Pisa Sporting Club","serie-a","Midfield","Left Midfield","2003-10-07","Italy",4500000,28.8777777777778,0,0.07,0.48,0.1,0.8,0.87,5.71,0,FALSE
"Samuele Inácio",2008,"it ITA","MF","Dortmund","de Bundesliga",17,7,384,1,0,9,5,2,0,0,0,2,2,7,10,11,0,0,0,0,0,0,1,NA,"Samuele Inacio",NA,"Samuele Inacio","Samuele Inácio","Borussia Dortmund","bundesliga","Attack","Second Striker","2008-04-02","Italy",15000000,4.26666666666667,0.23,0,2.11,1.17,0.47,0.47,2.58,0,TRUE
"Samuele Ricci",2001,"it ITA","MF","Milan","it Serie A",23,31,1312,1,4,18,6,3,0,0,0,9,9,17,33,28,1,0,0,0,0,0,1,NA,"Samuele Ricci",NA,"Samuele Ricci","Samuele Ricci","AC Milan","serie-a","Midfield","Defensive Midfield","2001-08-21","Italy",22000000,14.5777777777778,0.07,0.27,1.23,0.41,0.62,0.62,1.92,0,FALSE
"Sander Berge",1998,"no NOR","MF","Fulham","eng Premier League",27,35,2905,0,1,14,3,5,0,0,0,26,41,35,14,13,1,1,0,0,0,0,0,NA,"Sander Berge",NA,"Sander Berge","Sander Berge","Fulham FC","premier-league","Midfield","Defensive Midfield","1998-02-14","Norway",25000000,32.2777777777778,0,0.03,0.43,0.09,0.81,1.27,0.4,0,FALSE
"Sander Tangvik",2002,"no NOR","GK","Hamburger SV","de Bundesliga",22,1,90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,6,0,0,100,"Sander Tangvik",NA,"Sander Tangvik","Sander Tangvik","Hamburger SV","bundesliga","Goalkeeper","Goalkeeper","2002-11-29","Norway",3000000,1,0,0,0,0,0,0,0,1,TRUE
"Sandi Lovrić",1998,"si SVN","MF","Hellas Verona","it Serie A",27,13,470,0,1,5,2,2,0,0,0,9,10,9,4,40,0,0,0,0,0,0,0,NA,"Sandi Lovric",NA,"Sandi Lovric","Sandi Lovrić","Hellas Verona","serie-a","Midfield","Central Midfield","1998-03-28","Slovenia",3500000,5.22222222222222,0,0.19,0.96,0.38,1.72,1.91,7.66,0,FALSE
"Sandro Kulenović",1999,"hr CRO","FW","Torino","it Serie A",25,13,300,0,1,5,2,2,0,0,0,1,2,11,4,1,0,0,0,0,0,0,0,NA,"Sandro Kulenovic",NA,"Sandro Kulenovic","Sandro Kulenović","Torino FC","serie-a","Attack","Centre-Forward","1999-12-04","Croatia",3500000,3.33333333333333,0,0.3,1.5,0.6,0.3,0.6,0.3,0,TRUE
"Sandro Tonali",2000,"it ITA","MF","Newcastle United","eng Premier League",25,35,2534,0,2,37,8,4,0,0,0,28,25,24,42,95,1,0,0,0,0,0,0,NA,"Sandro Tonali",NA,"Sandro Tonali","Sandro Tonali","Newcastle United","premier-league","Midfield","Defensive Midfield","2000-05-08","Italy",80000000,28.1555555555556,0,0.07,1.31,0.28,0.99,0.89,3.37,0,FALSE
"Santi Cazorla",1984,"es ESP","MF","Oviedo","es La Liga",40,28,940,0,1,7,1,2,1,0,0,4,10,6,19,71,0,0,0,0,0,0,0,NA,"Santi Cazorla",NA,"Santi Cazorla","Santi Cazorla","Real Oviedo","laliga","Midfield","Central Midfield","1984-12-13","Spain",200000,10.4444444444444,0,0.1,0.67,0.1,0.38,0.96,6.8,0,FALSE
"Santi Comesaña",1996,"es ESP","MF","Villarreal","es La Liga",28,34,2407,3,6,27,7,5,1,0,0,31,25,43,28,12,1,0,0,0,0,0,3,NA,"Santi Comesana",NA,"Santi Comesana","Santi Comesaña","Villarreal CF","laliga","Midfield","Central Midfield","1996-10-05","Spain",8000000,26.7444444444444,0.11,0.22,1.01,0.26,1.16,0.93,0.45,0,FALSE
"Santiago Bueno",1998,"uy URU","DF","Wolves","eng Premier League",26,29,2553,3,1,10,7,4,0,0,0,27,30,29,11,6,2,0,0,0,0,0,3,NA,"Santiago Bueno",NA,"Santiago Bueno","Santiago Bueno","Wolverhampton Wanderers","premier-league","Defender","Centre-Back","1998-11-09","Uruguay",10000000,28.3666666666667,0.11,0.04,0.35,0.25,0.95,1.06,0.21,0,FALSE
"Santiago Castro",2004,"ar ARG","FW","Bologna","it Serie A",20,35,2359,7,2,63,20,3,0,0,0,1,8,35,50,4,12,0,0,0,0,0,7,NA,"Santiago Castro",NA,"Santiago Castro","Santiago Castro","Bologna Football Club 1909","serie-a","Attack","Centre-Forward","2004-09-18","Argentina",32000000,26.2111111111111,0.27,0.08,2.4,0.76,0.04,0.31,0.15,0,FALSE
"Santiago Colombatto",1997,"ar ARG","MF","Oviedo","es La Liga",28,32,2064,0,1,15,2,6,0,0,0,14,22,44,41,67,1,0,0,0,0,0,0,NA,"Santiago Colombatto",NA,"Santiago Colombatto","Santiago Colombatto","Real Oviedo","laliga","Midfield","Defensive Midfield","1997-01-17","Argentina",2500000,22.9333333333333,0,0.04,0.65,0.09,0.61,0.96,2.92,0,FALSE
"Santiago Giménez",2001,"mx MEX","FW","Milan","it Serie A",24,16,892,0,1,27,9,2,0,0,0,1,5,10,15,1,7,0,0,0,0,0,0,NA,"Santiago Gimenez",NA,"Santiago Gimenez","Santiago Gimenez","AC Milan","serie-a","Attack","Centre-Forward","2001-04-18","Mexico",18000000,9.91111111111111,0,0.1,2.72,0.91,0.1,0.5,0.1,0,FALSE
"Santiago Hidalgo",2005,"ar ARG","MF,FW","Toulouse","fr Ligue 1",20,29,1396,4,6,34,14,4,0,0,0,8,20,41,30,12,8,0,0,0,0,0,4,NA,"Santiago Hidalgo",NA,"Santiago Hidalgo","Santiago Hidalgo","FC Toulouse","ligue-1","Attack","Centre-Forward","2005-02-17","Argentina",6000000,15.5111111111111,0.26,0.39,2.19,0.9,0.52,1.29,0.77,0,FALSE
"Santiago Mouriño",2002,"uy URU","DF","Villarreal","es La Liga",23,28,2377,1,2,15,3,11,1,0,0,29,64,54,36,6,1,0,0,0,0,0,1,NA,"Santiago Mourino",NA,"Santiago Mourino","Santiago Mouriño","Villarreal CF","laliga","Defender","Right-Back","2002-02-13","Uruguay",20000000,26.4111111111111,0.04,0.08,0.57,0.11,1.1,2.42,0.23,0,FALSE
"Santiago Pierotti",2001,"ar ARG","MF,FW","Lecce","it Serie A",24,37,2597,1,2,33,8,4,0,0,0,21,51,67,23,21,7,0,0,0,0,0,1,NA,"Santiago Pierotti",NA,"Santiago Pierotti","Santiago Pierotti","US Lecce","serie-a","Attack","Right Winger","2001-04-03","Argentina",4000000,28.8555555555556,0.03,0.07,1.14,0.28,0.73,1.77,0.73,0,FALSE
"Saud Abdulhamid",1999,"sa KSA","MF","Lens","fr Ligue 1",26,25,1352,2,4,8,3,4,1,0,0,9,22,26,14,47,1,0,0,0,0,0,2,NA,"Saud Abdulhamid",NA,"Saud Abdulhamid","Saud Abdulhamid","RC Lens","ligue-1","Defender","Right-Back","1999-07-18","Saudi Arabia",9000000,15.0222222222222,0.13,0.27,0.53,0.2,0.6,1.46,3.13,0,FALSE
"Saúl Coco",1999,"gq EQG","DF","Torino","it Serie A",26,35,3088,1,1,15,4,3,0,0,0,41,34,46,34,5,0,0,0,0,0,0,1,NA,"Saul Coco",NA,"Saul Coco","Saúl Coco","Torino FC","serie-a","Defender","Centre-Back","1999-02-09","Equatorial Guinea",7500000,34.3111111111111,0.03,0.03,0.44,0.12,1.19,0.99,0.15,0,FALSE
"Saša Lukić",1996,"rs SRB","MF","Fulham","eng Premier League",28,26,1734,1,2,18,6,9,0,0,0,16,28,53,25,68,2,0,0,0,0,0,1,NA,"Sasa Lukic",NA,"Sasa Lukic","Saša Lukić","Fulham FC","premier-league","Midfield","Central Midfield","1996-08-13","Serbia",10000000,19.2666666666667,0.05,0.1,0.93,0.31,0.83,1.45,3.53,0,FALSE
"Scott McTominay",1996,"sct SCO","MF","Napoli","it Serie A",28,33,2791,10,3,101,34,1,0,0,1,23,13,24,73,10,5,0,0,0,0,0,10,NA,"Scott McTominay",NA,"Scott McTominay","Scott McTominay","SSC Napoli","serie-a","Midfield","Central Midfield","1996-12-08","Scotland",40000000,31.0111111111111,0.32,0.1,3.26,1.1,0.74,0.42,0.32,0,FALSE
"Sead Kolašinac",1993,"ba BIH","DF","Atalanta","it Serie A",32,19,1212,0,0,3,0,3,0,0,0,11,18,22,10,3,1,0,0,0,0,0,0,NA,"Sead Kolasinac",NA,"Sead Kolasinac","Sead Kolasinac","Atalanta BC","serie-a","Defender","Centre-Back","1993-06-20","Bosnia-Herzegovina",4000000,13.4666666666667,0,0,0.22,0,0.82,1.34,0.22,0,FALSE
"Sean Longstaff",1997,"eng ENG","MF","Leeds United","eng Premier League",27,23,1011,2,2,16,4,2,0,0,0,12,24,13,17,54,1,0,0,0,0,0,2,NA,"Sean Longstaff",NA,"Sean Longstaff","Sean Longstaff","Leeds United","premier-league","Midfield","Central Midfield","1997-10-30","England",15000000,11.2333333333333,0.18,0.18,1.42,0.36,1.07,2.14,4.81,0,FALSE
"Sebastiaan Bornauw",1999,"be BEL","DF","Leeds United","eng Premier League",26,12,429,0,0,1,0,1,0,0,0,7,4,7,0,1,1,0,0,0,0,0,0,NA,"Sebastiaan Bornauw",NA,"Sebastiaan Bornauw","Sebastiaan Bornauw","Leeds United","premier-league","Defender","Centre-Back","1999-03-22","Belgium",8000000,4.76666666666667,0,0,0.21,0,1.47,0.84,0.21,0,TRUE
"Sebastian Nanasi",2002,"se SWE","MF","Strasbourg","fr Ligue 1",23,19,1050,7,2,19,11,0,0,0,0,5,4,8,3,24,1,0,0,0,0,0,7,NA,"Sebastian Nanasi",NA,"Sebastian Nanasi","Sebastian Nanasi","RC Strasbourg Alsace","ligue-1","Attack","Left Winger","2002-05-16","Sweden",15000000,11.6666666666667,0.6,0.17,1.63,0.94,0.43,0.34,2.06,0,FALSE
"Sebastian Otoa",2004,"dk DEN","DF","Genoa","it Serie A",21,13,829,0,0,3,2,1,0,0,0,9,10,5,13,1,2,1,0,0,0,0,0,NA,"Sebastian Otoa",NA,"Sebastian Otoa","Sebastian Otoa","Genoa CFC","serie-a","Defender","Centre-Back","2004-05-13","Denmark",2500000,9.21111111111111,0,0,0.33,0.22,0.98,1.09,0.11,0,FALSE
"Sebastian Sebulonsen",2000,"no NOR","DF,MF","Köln","de Bundesliga",25,31,2498,0,0,31,5,5,0,0,0,17,26,11,9,67,4,0,0,0,0,0,0,NA,"Sebastian Sebulonsen",NA,"Sebastian Sebulonsen","Sebastian Sebulonsen","1.FC Köln","bundesliga","Defender","Right-Back","2000-01-27","Norway",5500000,27.7555555555556,0,0,1.12,0.18,0.61,0.94,2.41,0,FALSE
"Sebastian Szymański",1999,"pl POL","MF","Rennes","fr Ligue 1",26,16,776,1,3,12,5,2,0,0,0,3,10,13,12,56,4,0,0,0,0,0,1,NA,"Sebastian Szymanski",NA,"Sebastian Szymanski","Sebastian Szymanski","Stade Rennais FC","ligue-1","Midfield","Attacking Midfield","1999-05-10","Poland",12000000,8.62222222222222,0.12,0.35,1.39,0.58,0.35,1.16,6.49,0,FALSE
"Sebastian Walukiewicz",2000,"pl POL","DF","Sassuolo","it Serie A",25,34,2852,0,1,7,0,7,0,0,0,23,34,35,13,45,1,0,0,0,0,0,0,NA,"Sebastian Walukiewicz",NA,"Sebastian Walukiewicz","Sebastian Walukiewicz","US Sassuolo","serie-a","Defender","Right-Back","2000-04-05","Poland",5000000,31.6888888888889,0,0.03,0.22,0,0.73,1.07,1.42,0,FALSE
"Sebastiano Esposito",2002,"it ITA","FW,MF","Cagliari","it Serie A",23,36,2675,7,5,57,16,6,0,1,1,21,35,46,56,139,5,0,0,0,0,0,6,NA,"Sebastiano Esposito",NA,"Sebastiano Esposito","Sebastiano Esposito","Cagliari Calcio","serie-a","Attack","Second Striker","2002-07-02","Italy",15000000,29.7222222222222,0.24,0.17,1.92,0.54,0.71,1.18,4.68,0,FALSE
"Sebastiano Luperto",1996,"it ITA","DF","Cagliari","it Serie A",28,34,3013,1,1,12,5,4,0,0,0,31,21,32,29,11,1,0,0,0,0,0,1,NA,"Sebastiano Luperto",NA,"Sebastiano Luperto","Sebastiano Luperto","US Cremonese","serie-a","Defender","Centre-Back","1996-09-06","Italy",4000000,33.4777777777778,0.03,0.03,0.36,0.15,0.93,0.63,0.33,0,FALSE
"Sebastián Boselli",2003,"uy URU","DF","Getafe","es La Liga",21,11,380,0,0,4,1,4,0,0,0,0,13,6,0,8,0,0,0,0,0,0,0,NA,"Sebastian Boselli",NA,"Sebastian Boselli","Sebastián Boselli","Getafe CF","laliga","Defender","Centre-Back","2003-12-04","Uruguay",1500000,4.22222222222222,0,0,0.95,0.24,0,3.08,1.89,0,TRUE
"Seko Fofana",1995,"ci CIV","MF","Rennes","fr Ligue 1",30,12,655,1,0,9,3,0,0,0,0,3,2,3,13,7,0,0,0,0,0,0,1,NA,"Seko Fofana",NA,"Seko Fofana","Seko Fofana","Stade Rennais FC","ligue-1","Midfield","Central Midfield","1995-05-07","Cote d'Ivoire",8000000,7.27777777777778,0.14,0,1.24,0.41,0.41,0.27,0.96,0,FALSE
"Sekou Mara",2002,"fr FRA","FW","Auxerre","fr Ligue 1",23,27,1226,3,2,33,12,0,0,0,0,3,7,27,27,0,2,0,0,0,0,0,3,NA,"Sekou Mara",NA,"Sekou Mara","Sékou Mara","AJ Auxerre","ligue-1","Attack","Centre-Forward","2002-07-30","France",4000000,13.6222222222222,0.22,0.15,2.42,0.88,0.22,0.51,0,0,FALSE
"Selton Sánchez",2007,"es ESP","MF","Athletic Club","es La Liga",18,7,196,0,1,4,1,0,0,0,0,1,2,5,5,0,1,0,0,0,0,0,0,NA,"Selton Sanchez",NA,"Selton Sanchez","Selton Sánchez","Athletic Bilbao","laliga","Midfield","Central Midfield","2007-02-20","Spain",2800000,2.17777777777778,0,0.46,1.84,0.46,0.46,0.92,0,0,TRUE
"Senne Lynen",1999,"be BEL","MF","Werder Bremen","de Bundesliga",26,31,2752,0,0,25,4,4,0,0,0,77,33,38,12,14,0,0,0,0,0,0,0,NA,"Senne Lynen",NA,"Senne Lynen","Senne Lynen","SV Werder Bremen","bundesliga","Midfield","Defensive Midfield","1999-02-19","Belgium",8000000,30.5777777777778,0,0,0.82,0.13,2.52,1.08,0.46,0,FALSE
"Senny Mayulu",2006,"fr FRA","MF,FW","Paris Saint-Germain","fr Ligue 1",19,26,1672,4,4,35,11,2,0,0,0,12,31,24,20,27,1,0,0,0,0,0,4,NA,"Senny Mayulu",NA,"Senny Mayulu","Senny Mayulu","Paris Saint-Germain","ligue-1","Midfield","Central Midfield","2006-05-17","France",40000000,18.5777777777778,0.22,0.22,1.88,0.59,0.65,1.67,1.45,0,FALSE
"Seny Koumbassa",2007,"fr FRA","DF","Toulouse","fr Ligue 1",18,10,534,1,0,3,1,0,0,0,0,4,6,2,0,0,0,0,0,0,0,0,1,NA,"Seny Koumbassa",NA,"Seny Koumbassa","Seny Koumbassa","FC Toulouse","ligue-1","Defender","Centre-Back","2007-06-20","France",5000000,5.93333333333333,0.17,0,0.51,0.17,0.67,1.01,0,0,FALSE
