"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Abde Rebbach",1998,"dz ALG","MF,DF","Alavés","es La Liga",26,30,1496,1,4,34,12,8,0,"Abde Rebbach",NA,"Abde Rebbach","Abde Rebbach","Deportivo Alavés","laliga","Attack","Left Winger",1998-08-11,"Algeria",2500000
"Abdel Abqar",1999,"ma MAR","DF","Getafe","es La Liga",26,23,1437,0,2,7,1,10,1,"Abdel Abqar",NA,"Abdel Abqar","Abdel Abqar","Getafe CF","laliga","Defender","Centre-Back",1999-03-10,"Morocco",3500000
"Abdelhamid Ait Boudlal",2006,"ma MAR","DF","Rennes","fr Ligue 1",19,20,1403,2,1,13,4,3,1,"Abdelhamid Ait Boudlal",NA,"Abdelhamid Ait Boudlal","Abdelhamid Ait Boudlal","Stade Rennais FC","ligue-1","Defender","Centre-Back",2006-04-16,"Morocco",12000000
"Abdelhamid Sabiri",1996,"ma MAR","MF","Fiorentina","it Serie A",28,1,27,0,0,1,0,0,0,"Abdelhamid Sabiri",NA,"Abdelhamid Sabiri","Abdelhamid Sabiri","ACF Fiorentina","serie-a","Midfield","Attacking Midfield",1996-11-28,"Morocco",850000
"Abdou Harroui",1998,"nl NED","MF","Hellas Verona","it Serie A",27,23,907,1,0,12,2,3,0,"Abdou Harroui",NA,"Abdou Harroui","Abdou Harroui","Hellas Verona","serie-a","Midfield","Central Midfield",1998-01-13,"Morocco",1600000
"Abdoul Ouattara",2005,"fr FRA","MF,DF","Strasbourg","fr Ligue 1",19,28,1768,2,0,27,11,2,0,"Abdoul Ouattara",NA,"Abdoul Ouattara","Abdoul Ouattara","RC Strasbourg Alsace","ligue-1","Defender","Right-Back",2005-10-22,"Cote d'Ivoire",15000000
"Abdoulaye Bamba",1990,"ci CIV","DF","Angers","fr Ligue 1",35,6,255,0,0,1,1,1,0,"Abdoulaye Bamba",NA,"Abdoulaye Bamba","Abdoulaye Bamba","Angers SCO","ligue-1","Defender","Centre-Back",1990-04-25,"Cote d'Ivoire",200000
"Abdoulaye Camara",2008,"fr FRA","MF","Udinese","it Serie A",16,1,12,0,0,0,0,0,0,"Abdoulaye Camara",NA,"Abdoulaye Camara","Abdoulaye Camara","Udinese Calcio","serie-a","Midfield","Defensive Midfield",2008-09-28,"France",1500000
"Abdoulaye Faye",2004,"sn SEN","DF","Lorient","fr Ligue 1",20,17,1444,0,0,8,2,8,0,"Abdoulaye Faye",NA,"Abdoulaye Faye","Abdoulaye Faye","FC Lorient","ligue-1","Defender","Centre-Back",2004-09-22,"Senegal",4500000
"Abdoulaye Ndiaye",2002,"sn SEN","DF","Parma","it Serie A",23,11,780,0,0,6,0,5,1,"Abdoulaye Ndiaye",NA,"Abdoulaye Ndiaye","Abdoulaye Ndiaye","Parma Calcio 1913","serie-a","Defender","Centre-Back",2002-04-10,"Senegal",6000000
"Abdoulaye Touré",1994,"gn GUI","MF","Le Havre","fr Ligue 1",31,11,740,2,0,13,4,2,0,"Abdoulaye Toure",NA,"Abdoulaye Toure","Abdoulaye Touré","Le Havre AC","ligue-1","Midfield","Defensive Midfield",1994-03-03,"Guinea",2500000
"Abdoulie Ceesay",2004,"gm GAM","FW","St Pauli","de Bundesliga",21,20,336,3,0,11,4,4,0,"Abdoulie Ceesay",NA,"Abdoulie Ceesay","Abdoulie Ceesay","FC St. Pauli","bundesliga","Attack","Centre-Forward",2004-01-05,"The Gambia",1000000
"Abdukodir Khusanov",2004,"uz UZB","DF","Manchester City","eng Premier League",21,21,1432,0,0,7,1,2,0,"Abdukodir Khusanov",NA,"Abdukodir Khusanov","Abdukodir Khusanov","Manchester City","premier-league","Defender","Centre-Back",2004-02-29,"Uzbekistan",50000000
"Abdul Mumin",1998,"gh GHA","DF","Rayo Vallecano","es La Liga",27,3,79,0,0,0,0,0,0,"Abdul Mumin",NA,"Abdul Mumin","Abdul Mumin","Rayo Vallecano","laliga","Defender","Centre-Back",1998-06-06,"Ghana",3000000
"Abdón Prats",1992,"es ESP","FW","Mallorca","es La Liga",32,15,143,0,0,5,2,0,0,"Abdon Prats",NA,"Abdon Prats","Abdón Prats","RCD Mallorca","laliga","Attack","Centre-Forward",1992-12-07,"Spain",800000
"Abel Bretones",2000,"es ESP","MF,DF","Osasuna","es La Liga",24,28,1624,1,2,11,3,5,1,"Abel Bretones",NA,"Abel Bretones","Abel Bretones","CA Osasuna","laliga","Defender","Left-Back",2000-08-21,"Spain",3500000
"Abel Ruiz",2000,"es ESP","FW","Girona","es La Liga",25,9,187,0,0,5,1,0,0,"Abel Ruiz",NA,"Abel Ruiz","Abel Ruiz","Girona FC","laliga","Attack","Centre-Forward",2000-01-28,"Spain",2000000
"Abner",2000,"br BRA","DF,MF","Lyon","fr Ligue 1",25,26,2150,3,2,17,7,4,1,"Abner",NA,"Abner","Abner","Olympique Lyon","ligue-1","Defender","Left-Back",2000-05-27,"Brazil",10000000
"Abu Kamara",2003,"eng ENG","MF","Getafe","es La Liga",22,12,256,0,0,4,1,1,0,"Abu Kamara",NA,"Abu Kamara","Abu Kamara","Getafe CF","laliga","Attack","Right Winger",2003-07-21,"England",2500000
"Achraf Hakimi",1998,"ma MAR","DF","Paris Saint-Germain","fr Ligue 1",26,18,1375,2,2,27,9,3,1,"Achraf Hakimi",NA,"Achraf Hakimi","Achraf Hakimi","Paris Saint-Germain","ligue-1","Defender","Right-Back",1998-11-04,"Morocco",80000000
"Adam Armstrong",1997,"eng ENG","FW,MF","Wolves","eng Premier League",28,14,1140,2,2,18,6,3,0,"Adam Armstrong",NA,"Adam Armstrong","Adam Armstrong","Wolverhampton Wanderers","premier-league","Attack","Centre-Forward",1997-02-10,"England",6000000
"Adam Boayar",2005,"ma MAR","MF","Elche","es La Liga",19,7,104,1,0,5,2,0,0,"Adam Boayar",NA,"Adam Boayar","Adam Boayar","Elche CF","laliga","Attack","Second Striker",2005-10-13,"Morocco",800000
"Adam Dźwigała",1995,"pl POL","DF","St Pauli","de Bundesliga",29,19,1288,1,1,4,2,5,0,"Adam Dzwigala",NA,"Adam Dzwigala","Adam Dzwigala","FC St. Pauli","bundesliga","Defender","Centre-Back",1995-09-25,"Poland",800000
"Adam Hložek",2002,"cz CZE","FW,MF","Hoffenheim","de Bundesliga",23,5,41,0,0,3,1,0,0,"Adam Hlozek",NA,"Adam Hlozek","Adam Hlozek","TSG 1899 Hoffenheim","bundesliga","Attack","Centre-Forward",2002-07-25,"Czech Republic",10000000
"Adam Kölle",2006,"de GER","DF","Heidenheim","de Bundesliga",19,6,93,1,0,2,1,1,0,"Adam Kolle",NA,"Adam Kolle","Adam Kölle","1. Fußballclub Heidenheim 1846","bundesliga","Defender","Centre-Back",2006-04-28,"Germany",1000000
"Adam Marušić",1992,"me MNE","DF","Lazio","it Serie A",32,33,2778,1,2,16,7,1,1,"Adam Marusic",NA,"Adam Marusic","Adam Marusic","Società Sportiva Lazio S.p.A.","serie-a","Defender","Right-Back",1992-10-17,"Montenegro",2500000
"Adam Masina",1994,"ma MAR","DF","Torino","it Serie A",31,5,235,0,1,0,0,0,0,"Adam Masina",NA,"Adam Masina","Adam Masina","Torino FC","serie-a","Defender","Centre-Back",1994-01-02,"Morocco",1000000
"Adam Obert",2002,"sk SVK","DF,MF","Cagliari","it Serie A",22,35,2771,0,3,10,3,10,1,"Adam Obert",NA,"Adam Obert","Adam Obert","Cagliari Calcio","serie-a","Defender","Left-Back",2002-08-23,"Slovakia",7000000
"Adam Smith",1991,"eng ENG","DF","Bournemouth","eng Premier League",34,22,1077,0,2,0,0,3,0,"Adam Smith",NA,"Adam Smith","Adam Smith","AFC Bournemouth","premier-league","Defender","Right-Back",1991-04-29,"England",300000
"Adam Wharton",2004,"eng ENG","MF","Crystal Palace","eng Premier League",21,34,2552,1,5,32,6,6,1,"Adam Wharton",NA,"Adam Wharton","Adam Wharton","Crystal Palace","premier-league","Midfield","Defensive Midfield",2004-02-06,"England",70000000
"Adama Boiro",2002,"es ESP","DF","Athletic Club","es La Liga",23,14,815,0,0,2,0,1,0,"Adama Boiro",NA,"Adama Boiro","Adama Boiro","Athletic Bilbao","laliga","Defender","Left-Back",2002-06-22,"Spain",2500000
"Adama Camara",1996,"fr FRA","MF,DF","Paris FC","fr Ligue 1",28,29,2159,1,0,17,5,8,0,"Adama Camara",NA,"Adama Camara","Adama Camara","Paris FC","ligue-1","Midfield","Defensive Midfield",1996-10-18,"France",3000000
"Adama Traoré",1996,"es ESP","MF","Fulham","eng Premier League",29,24,395,0,0,7,1,1,0,"Adama Traore",NA,"Adama Traore","Adama Traoré","West Ham United","premier-league","Attack","Right Winger",1996-01-25,"Spain",6000000
"Ademola Lookman",1997,"ng NGA","FW,MF","Atalanta","it Serie A",27,24,1412,6,0,48,13,1,0,"Ademola Lookman",NA,"Ademola Lookman","Ademola Lookman","Atalanta BC","serie-a","Attack","Left Winger",1997-10-20,"Nigeria",40000000
"Adnan Januzaj",1995,"be BEL","MF,FW","Sevilla","es La Liga",30,12,321,0,0,7,0,1,0,"Adnan Januzaj",NA,"Adnan Januzaj","Adnan Januzaj","Sevilla FC","laliga","Attack","Right Winger",1995-02-05,"Belgium",1000000
"Adrian Beck",1997,"de GER","MF","Heidenheim","de Bundesliga",28,24,868,1,1,11,4,1,0,"Adrian Beck",NA,"Adrian Beck","Adrian Beck","1. Fußballclub Heidenheim 1846","bundesliga","Midfield","Attacking Midfield",1997-06-09,"Germany",1500000
"Adrian Bernabe",2001,"es ESP","MF","Parma","it Serie A",24,32,2470,3,1,50,12,0,0,"Adrian Bernabe",NA,"Adrian Bernabe","Adrián Bernabé","Parma Calcio 1913","serie-a","Midfield","Central Midfield",2001-05-26,"Spain",15000000
"Adrian Przyborek",2007,"pl POL","MF","Lazio","it Serie A",18,1,9,0,0,1,0,0,0,"Adrian Przyborek",NA,"Adrian Przyborek","Adrian Przyborek","Società Sportiva Lazio S.p.A.","serie-a","Midfield","Attacking Midfield",2007-01-01,"Poland",6000000
"Adrian Šemper",1998,"hr CRO","GK","Pisa","it Serie A",27,25,2250,0,0,0,0,0,0,"Adrian Semper",NA,"Adrian Semper","Adrian Semper","Pisa Sporting Club","serie-a","Goalkeeper","Goalkeeper",1998-01-12,"Croatia",1800000
"Adrien Rabiot",1995,"fr FRA","MF","Milan","it Serie A",30,30,2640,6,4,47,12,7,1,"Adrien Rabiot",NA,"Adrien Rabiot","Adrien Rabiot","Olympique Marseille","ligue-1","Midfield","Central Midfield",1995-04-03,"France",18000000
"Adrien Tameze",1994,"cm CMR","DF","Torino","it Serie A",31,24,1120,0,0,5,0,3,0,"Adrien Tameze",NA,"Adrien Tameze","Adrien Tamèze","Torino FC","serie-a","Midfield","Defensive Midfield",1994-02-04,"France",1200000
"Adrien Thomasson",1993,"fr FRA","MF","Lens","fr Ligue 1",31,32,2683,3,9,43,13,11,0,"Adrien Thomasson",NA,"Adrien Thomasson","Adrien Thomasson","RC Lens","ligue-1","Midfield","Central Midfield",1993-12-10,"France",4000000
"Adrien Truffert",2001,"fr FRA","DF","Bournemouth","eng Premier League",23,38,3379,1,5,16,6,5,0,"Adrien Truffert",NA,"Adrien Truffert","Adrien Truffert","AFC Bournemouth","premier-league","Defender","Left-Back",2001-11-20,"France",30000000
"Adrià Altimira",2001,"es ESP","DF,MF","Villarreal","es La Liga",24,1,9,0,0,0,0,0,0,"Adria Altimira",NA,"Adria Altimira","Adrià Altimira","Villarreal CF","laliga","Defender","Right-Back",2001-03-28,"Spain",2000000
"Adrià Pedrosa",1998,"es ESP","DF,MF","Elche","es La Liga",27,27,1096,1,1,12,3,4,0,"Adria Pedrosa",NA,"Adria Pedrosa","Adrià Pedrosa","Elche CF","laliga","Defender","Left-Back",1998-05-13,"Spain",2800000
"Adrián Liso",2005,"es ESP","FW,MF","Getafe","es La Liga",20,28,1702,3,0,26,10,5,1,"Adrian Liso",NA,"Adrian Liso","Adrián Liso","Getafe CF","laliga","Attack","Left Winger",2005-04-02,"Spain",3000000
"Afonso Moreira",2005,"pt POR","MF,FW","Lyon","fr Ligue 1",20,27,1722,4,7,40,14,3,0,"Afonso Moreira",NA,"Afonso Moreira","Afonso Moreira","Olympique Lyon","ligue-1","Attack","Left Winger",2005-03-19,"Portugal",20000000
"Agustín Albarracín",2005,"uy URU","FW","Cagliari","it Serie A",19,2,33,0,0,0,0,0,0,"Agustin Albarracin",NA,"Agustin Albarracin","Agustín Albarracín","Cagliari Calcio","serie-a","Attack","Left Winger",2005-08-29,"Uruguay",2300000
"Aihen Muñoz",1997,"es ESP","DF","Real Sociedad","es La Liga",27,21,848,1,0,6,2,1,0,"Aihen Munoz",NA,"Aihen Munoz","Aihen Muñoz","Real Sociedad","laliga","Defender","Left-Back",1997-08-16,"Spain",2500000
"Aiman Dardari",2005,"lu LUX","MF","Augsburg","de Bundesliga",20,3,34,0,0,1,0,1,0,"Aiman Dardari",NA,"Aiman Dardari","Aiman Dardari","FC Augsburg","bundesliga","Attack","Left Winger",2005-03-21,"Luxembourg",800000
"Aimar Oroz",2001,"es ESP","MF,FW","Osasuna","es La Liga",23,31,2139,0,2,29,4,6,0,"Aimar Oroz",NA,"Aimar Oroz","Aimar Oroz","CA Osasuna","laliga","Midfield","Attacking Midfield",2001-11-27,"Spain",7500000
"Ainsley Maitland-Niles",1997,"eng ENG","DF,MF","Lyon","fr Ligue 1",27,30,2483,1,4,14,7,7,1,"Ainsley Maitland-Niles",NA,"Ainsley Maitland-Niles","Ainsley Maitland-Niles","Olympique Lyon","ligue-1","Defender","Right-Back",1997-08-29,"England",10000000
"Aitor Fernández",1991,"es ESP","GK","Osasuna","es La Liga",34,2,136,0,0,0,0,3,0,"Aitor Fernandez",NA,"Aitor Fernandez","Aitor Fernández","CA Osasuna","laliga","Goalkeeper","Goalkeeper",1991-05-03,"Spain",500000
"Aitor Mañas",2003,"es ESP","FW","Alavés","es La Liga",22,9,122,0,0,2,1,0,0,"Aitor Manas",NA,"Aitor Manas","Aitor Mañas","Deportivo Alavés","laliga","Attack","Centre-Forward",2003-01-05,"Spain",600000
"Aitor Paredes",2000,"es ESP","DF","Athletic Club","es La Liga",25,19,1630,2,0,13,4,4,0,"Aitor Paredes",NA,"Aitor Paredes","Aitor Paredes","Athletic Bilbao","laliga","Defender","Centre-Back",2000-04-29,"Spain",7500000
"Aitor Ruibal",1996,"es ESP","DF,MF","Real Betis","es La Liga",29,27,1808,4,2,31,12,6,1,"Aitor Ruibal",NA,"Aitor Ruibal","Aitor Ruibal","Real Betis Balompié","laliga","Attack","Right Winger",1996-03-22,"Spain",4000000
"Akor Adams",2000,"ng NGA","FW","Sevilla","es La Liga",25,32,2064,10,3,61,30,3,0,"Akor Adams",NA,"Akor Adams","Akor Adams","Sevilla FC","laliga","Attack","Centre-Forward",2000-01-29,"Nigeria",15000000
"Aladji Bamba",2006,"fr FRA","MF","Monaco","fr Ligue 1",19,18,816,0,2,2,1,2,0,"Aladji Bamba",NA,"Aladji Bamba","Aladji Bamba","AS Monaco","ligue-1","Midfield","Defensive Midfield",2006-07-14,"France",18000000
"Alan Matturro",2004,"uy URU","DF","Levante","es La Liga",20,19,947,1,1,8,1,0,1,"Alan Matturro",NA,"Alan Matturro","Alan Matturro","Levante UD","laliga","Defender","Centre-Back",2004-10-11,"Uruguay",4000000
"Albert Grønbaek",2001,"dk DEN","MF","Hamburger SV","de Bundesliga",24,11,595,1,2,9,5,1,0,"Albert Gronbaek",NA,"Albert Gronbaek","Albert Grønbaek","Hamburger SV","bundesliga","Midfield","Attacking Midfield",2001-05-23,"Denmark",5000000
"Albert Guðmundsson",1997,"is ISL","FW,MF","Fiorentina","it Serie A",28,33,2250,5,4,41,15,4,1,"Albert Gudmundsson",NA,"Albert Gudmundsson","Albert Gudmundsson","ACF Fiorentina","serie-a","Attack","Second Striker",1997-06-15,"Iceland",12000000
"Albert Sambi Lokonga",1999,"be BEL","MF","Hamburger SV","de Bundesliga",25,26,1710,5,0,19,11,3,0,"Albert Sambi Lokonga",NA,"Albert Sambi Lokonga","Albert Sambi Lokonga","Hamburger SV","bundesliga","Midfield","Central Midfield",1999-10-22,"Belgium",12000000
"Alberto Dossena",1998,"it ITA","DF","Cagliari","it Serie A",26,12,859,0,1,7,2,5,0,"Alberto Dossena",NA,"Alberto Dossena","Alberto Dossena","Cagliari Calcio","serie-a","Defender","Centre-Back",1998-10-13,"Italy",6000000
"Alberto Grassi",1995,"it ITA","MF","Cremonese","it Serie A",30,30,1753,0,0,13,4,4,1,"Alberto Grassi",NA,"Alberto Grassi","Alberto Grassi","US Cremonese","serie-a","Midfield","Defensive Midfield",1995-03-07,"Italy",1400000
"Alberto Moleiro",2003,"es ESP","MF","Villarreal","es La Liga",21,37,2478,10,5,46,20,4,0,"Alberto Moleiro",NA,"Alberto Moleiro","Alberto Moleiro","Villarreal CF","laliga","Attack","Left Winger",2003-09-30,"Spain",50000000
"Alberto Moreno",1992,"es ESP","DF","Como","it Serie A",33,19,1233,2,1,11,4,4,0,"Alberto Moreno",NA,"Alberto Moreno","Alberto Moreno","Como 1907","serie-a","Defender","Left-Back",1992-07-05,"Spain",1000000
"Alberto Paleari",1992,"it ITA","GK","Torino","it Serie A",32,29,2610,0,0,0,0,1,0,"Alberto Paleari",NA,"Alberto Paleari","Alberto Paleari","Torino FC","serie-a","Goalkeeper","Goalkeeper",1992-08-29,"Italy",1200000
"Alberto Reina",1997,"es ESP","MF","Oviedo","es La Liga",27,37,2462,4,1,24,11,6,1,"Alberto Reina",NA,"Alberto Reina","Alberto Reina","Real Oviedo","laliga","Midfield","Central Midfield",1997-11-19,"Spain",2000000
"Albian Hajdari",2003,"xk KVX","DF","Hoffenheim","de Bundesliga",22,30,2434,1,2,19,4,10,0,"Albian Hajdari",NA,"Albian Hajdari","Albian Hajdari","TSG 1899 Hoffenheim","bundesliga","Defender","Centre-Back",2003-05-18,"Kosovo",25000000
"Aleix Febas",1996,"es ESP","MF","Elche","es La Liga",29,36,3160,2,2,23,8,10,0,"Aleix Febas",NA,"Aleix Febas","Aleix Febas","Elche CF","laliga","Midfield","Central Midfield",1996-02-02,"Spain",5000000
"Aleix García",1997,"es ESP","MF","Leverkusen","de Bundesliga",28,33,2667,3,8,30,5,6,0,"Aleix Garcia",NA,"Aleix Garcia","Aleix García","Bayer 04 Leverkusen","bundesliga","Midfield","Central Midfield",1997-06-28,"Spain",20000000
"Alejandro Balde",2003,"es ESP","DF","Barcelona","es La Liga",21,28,1869,0,2,10,1,2,0,"Alejandro Balde",NA,"Alejandro Balde","Alejandro Balde","FC Barcelona","laliga","Defender","Left-Back",2003-10-18,"Spain",50000000
"Alejandro Francés",2002,"es ESP","DF","Girona","es La Liga",22,24,1116,0,2,16,4,2,1,"Alejandro Frances",NA,"Alejandro Frances","Alejandro Francés","Girona FC","laliga","Defender","Centre-Back",2002-08-01,"Spain",3000000
"Alejandro Garnacho",2004,"ar ARG","MF","Chelsea","eng Premier League",21,24,1268,1,4,33,7,2,0,"Alejandro Garnacho",NA,"Alejandro Garnacho","Alejandro Garnacho","Chelsea FC","premier-league","Attack","Left Winger",2004-07-01,"Argentina",28000000
"Alejandro Rego",2003,"es ESP","MF","Athletic Club","es La Liga",22,29,1279,1,1,12,3,6,0,"Alejandro Rego",NA,"Alejandro Rego","Alejandro Rego","Athletic Bilbao","laliga","Midfield","Central Midfield",2003-06-11,"Spain",5000000
"Alejo Sarco",2006,"ar ARG","FW","Leverkusen","de Bundesliga",19,6,127,0,0,4,0,0,0,"Alejo Sarco",NA,"Alejo Sarco","Alejo Sarco","Bayer 04 Leverkusen","bundesliga","Attack","Centre-Forward",2006-01-06,"Argentina",2000000
"Aleksandar Pavlovic",2004,"de GER","MF","Bayern Munich","de Bundesliga",21,24,1462,3,1,10,5,2,0,"Aleksandar Pavlovic",NA,"Aleksandar Pavlovic","Aleksandar Pavlovic","Bayern Munich","bundesliga","Midfield","Defensive Midfield",2004-05-03,"Germany",90000000
"Aleksandr Golovin",1996,"ru RUS","MF","Monaco","fr Ligue 1",29,25,1649,5,5,34,18,4,1,"Aleksandr Golovin",NA,"Aleksandr Golovin","Aleksandr Golovin","AS Monaco","ligue-1","Midfield","Attacking Midfield",1996-05-30,"Russia",18000000
"Alessandro Bastoni",1999,"it ITA","DF","Inter","it Serie A",26,28,2239,1,4,17,8,6,0,"Alessandro Bastoni",NA,"Alessandro Bastoni","Alessandro Bastoni","Inter Milan","serie-a","Defender","Centre-Back",1999-04-13,"Italy",65000000
"Alessandro Buongiorno",1999,"it ITA","DF","Napoli","it Serie A",26,33,2521,0,1,8,3,3,0,"Alessandro Buongiorno",NA,"Alessandro Buongiorno","Alessandro Buongiorno","SSC Napoli","serie-a","Defender","Centre-Back",1999-06-06,"Italy",30000000
"Alessandro Circati",2003,"au AUS","DF","Parma","it Serie A",21,31,2664,1,0,8,1,6,0,"Alessandro Circati",NA,"Alessandro Circati","Alessandro Circati","Parma Calcio 1913","serie-a","Defender","Centre-Back",2003-10-10,"Australia",12000000
"Alessandro Deiola",1995,"it ITA","MF,DF","Cagliari","it Serie A",29,20,1430,0,2,22,7,3,0,"Alessandro Deiola",NA,"Alessandro Deiola","Alessandro Deiola","Cagliari Calcio","serie-a","Midfield","Central Midfield",1995-08-01,"Italy",1500000
"Alessandro Di Pardo",1999,"it ITA","DF,MF","Cagliari","it Serie A",26,3,54,0,0,1,0,0,0,"Alessandro Di Pardo",NA,"Alessandro Di Pardo","Alessandro Di Pardo","Cagliari Calcio","serie-a","Defender","Right-Back",1999-07-18,"Italy",800000
"Alessandro Marcandalli",2002,"it ITA","DF","Genoa","it Serie A",22,32,2597,0,2,5,2,4,0,"Alessandro Marcandalli",NA,"Alessandro Marcandalli","Alessandro Marcandalli","Genoa CFC","serie-a","Defender","Centre-Back",2002-10-25,"Italy",14000000
"Alessandro Romano",2006,"ch SUI","MF","Roma","it Serie A",19,2,8,0,0,0,0,0,0,"Alessandro Romano",NA,"Alessandro Romano","Alessandro Romano","Associazione Sportiva Roma","serie-a","Midfield","Defensive Midfield",2006-06-17,"Switzerland",500000
"Alessandro Zanoli",2000,"it ITA","MF","Udinese","it Serie A",24,19,1280,1,2,3,1,1,0,"Alessandro Zanoli",NA,"Alessandro Zanoli","Alessandro Zanoli","SSC Napoli","serie-a","Defender","Right-Back",2000-10-03,"Italy",4500000
"Alessio Furlanetto",2002,"it ITA","GK","Lazio","it Serie A",23,2,180,0,0,0,0,0,0,"Alessio Furlanetto",NA,"Alessio Furlanetto","Alessio Furlanetto","Società Sportiva Lazio S.p.A.","serie-a","Goalkeeper","Goalkeeper",2002-02-07,"Italy",350000
"Alessio Romagnoli",1995,"it ITA","DF","Lazio","it Serie A",30,32,2666,0,0,9,4,6,1,"Alessio Romagnoli",NA,"Alessio Romagnoli","Alessio Romagnoli","Società Sportiva Lazio S.p.A.","serie-a","Defender","Centre-Back",1995-01-12,"Italy",6000000
"Alessio Zerbin",1999,"it ITA","MF","Cremonese","it Serie A",26,32,1646,0,3,21,7,1,0,"Alessio Zerbin",NA,"Alessio Zerbin","Alessio Zerbin","US Cremonese","serie-a","Midfield","Right Midfield",1999-03-03,"Italy",2000000
"Alex Baena",2001,"es ESP","MF,FW","Atlético Madrid","es La Liga",24,27,1560,2,3,29,7,5,0,"Alex Baena",NA,"Alex Baena","Álex Baena","Atlético de Madrid","laliga","Attack","Left Winger",2001-07-20,"Spain",40000000
"Alex Freeman",2004,"us USA","DF","Villarreal","es La Liga",20,9,346,0,0,1,0,0,0,"Alex Freeman",NA,"Alex Freeman","Alex Freeman","Villarreal CF","laliga","Defender","Right-Back",2004-08-09,"United States",3500000
"Alex Iwobi",1996,"ng NGA","MF","Fulham","eng Premier League",29,29,2419,4,3,39,15,3,0,"Alex Iwobi",NA,"Alex Iwobi","Alex Iwobi","Fulham FC","premier-league","Attack","Left Winger",1996-05-03,"Nigeria",20000000
"Alex Král",1998,"cz CZE","MF","Union Berlin","de Bundesliga",27,20,459,0,0,7,3,1,0,"Alex Kral",NA,"Alex Kral","Alex Král","1.FC Union Berlin","bundesliga","Midfield","Central Midfield",1998-05-19,"Czech Republic",2500000
"Alex Meret",1997,"it ITA","GK","Napoli","it Serie A",28,11,979,0,1,0,0,1,0,"Alex Meret",NA,"Alex Meret","Alex Meret","SSC Napoli","serie-a","Goalkeeper","Goalkeeper",1997-03-22,"Italy",8000000
"Alex Murphy",2004,"ie IRL","DF","Newcastle United","eng Premier League",21,2,9,0,0,0,0,0,0,"Alex Murphy",NA,"Alex Murphy","Alex Murphy","Newcastle United","premier-league","Defender","Left-Back",2004-06-25,"Ireland",1500000
"Alex Padilla",2003,"es ESP","GK","Athletic Club","es La Liga",21,1,90,0,0,0,0,0,1,"Alex Padilla",NA,"Alex Padilla","Álex Padilla","Athletic Bilbao","laliga","Goalkeeper","Goalkeeper",2003-09-01,"Mexico",3000000
"Alex Scott",2003,"eng ENG","MF","Bournemouth","eng Premier League",21,37,2849,3,1,44,13,5,0,"Alex Scott",NA,"Alex Scott","Alex Scott","AFC Bournemouth","premier-league","Midfield","Central Midfield",2003-08-21,"England",50000000
"Alex Sola",1999,"es ESP","DF,FW","Getafe","es La Liga",26,1,13,0,0,0,0,0,0,"Alex Sola",NA,"Alex Sola","Álex Sola","Getafe CF","laliga","Attack","Right Winger",1999-06-09,"Spain",2000000
"Alex Tóth",2005,"hu HUN","MF","Bournemouth","eng Premier League",19,9,140,0,0,2,0,1,0,"Alex Toth",NA,"Alex Toth","Alex Tóth","AFC Bournemouth","premier-league","Midfield","Central Midfield",2005-10-23,"Hungary",12000000
"Alexander Isak",1999,"se SWE","FW","Liverpool","eng Premier League",25,14,699,3,1,17,6,0,0,"Alexander Isak",NA,"Alexander Isak","Alexander Isak","Liverpool FC","premier-league","Attack","Centre-Forward",1999-09-21,"Sweden",85000000
"Alexander Nübel",1996,"de GER","GK","Stuttgart","de Bundesliga",28,34,3060,0,1,0,0,0,0,"Alexander Nubel",NA,"Alexander Nubel","Alexander Nübel","VfB Stuttgart","bundesliga","Goalkeeper","Goalkeeper",1996-09-30,"Germany",12000000
"Alexander Prass",2001,"at AUT","MF","Hoffenheim","de Bundesliga",24,32,1308,3,2,18,11,4,0,"Alexander Prass",NA,"Alexander Prass","Alexander Prass","TSG 1899 Hoffenheim","bundesliga","Midfield","Left Midfield",2001-05-26,"Austria",9000000
"Alexander Røssing-Lelesiit",2007,"no NOR","FW,MF","Hamburger SV","de Bundesliga",18,11,321,0,1,2,2,3,1,"Alexander Rossing-Lelesiit",NA,"Alexander Rossing-Lelesiit","Alexander Røssing-Lelesiit","Hamburger SV","bundesliga","Attack","Left Winger",2007-01-20,"Norway",5000000
"Alexander Sørloth",1995,"no NOR","FW","Atlético Madrid","es La Liga",29,35,1980,13,0,68,35,4,1,"Alexander Sorloth",NA,"Alexander Sorloth","Alexander Sørloth","Atlético de Madrid","laliga","Attack","Centre-Forward",1995-12-05,"Norway",18000000
"Alexis Claude-Maurice",1998,"fr FRA","MF,FW","Augsburg","de Bundesliga",27,29,2097,5,4,71,26,3,0,"Alexis Claude-Maurice",NA,"Alexis Claude-Maurice","Alexis Claude-Maurice","FC Augsburg","bundesliga","Midfield","Attacking Midfield",1998-06-06,"France",15000000
"Alexis Mac Allister",1998,"ar ARG","MF","Liverpool","eng Premier League",26,37,2658,2,4,52,12,7,0,"Alexis Mac Allister",NA,"Alexis Mac Allister","Alexis Mac Allister","Liverpool FC","premier-league","Midfield","Central Midfield",1998-12-24,"Argentina",70000000
