"Player","Born","Nation","Pos","Squad","Comp","Age","MP","Min","Gls","Ast","Sh","SoT","CrdY","CrdR","Player_clean","tm_name","match_name","name","club","league","position","sub_position","date_of_birth","nationality","market_value_in_eur"
"Roberto Férnandez",2002,"es ESP","FW","Espanyol","es La Liga",23,38,2382,7,3,59,23,3,0,"Roberto Fernandez",NA,"Roberto Fernandez","Roberto Fernández","RCD Espanyol Barcelona","laliga","Attack","Centre-Forward",2002-07-03,"Spain",10000000
"Roberto Gagliardini",1994,"it ITA","MF","Hellas Verona","it Serie A",31,29,2272,1,0,15,3,9,0,"Roberto Gagliardini",NA,"Roberto Gagliardini","Roberto Gagliardini","Hellas Verona","serie-a","Midfield","Central Midfield",1994-04-07,"Italy",1300000
"Roberto Piccoli",2001,"it ITA","FW","Fiorentina","it Serie A",24,32,1672,4,1,47,15,1,0,"Roberto Piccoli",NA,"Roberto Piccoli","Roberto Piccoli","ACF Fiorentina","serie-a","Attack","Centre-Forward",2001-01-27,"Italy",14000000
"Robin Fellhauer",1998,"de GER","MF","Augsburg","de Bundesliga",27,34,2799,3,2,30,9,2,0,"Robin Fellhauer",NA,"Robin Fellhauer","Robin Fellhauer","FC Augsburg","bundesliga","Midfield","Defensive Midfield",1998-01-21,"Germany",3500000
"Robin Gosens",1994,"de GER","DF,MF","Fiorentina","it Serie A",31,26,1881,3,1,18,7,2,0,"Robin Gosens",NA,"Robin Gosens","Robin Gosens","ACF Fiorentina","serie-a","Defender","Left-Back",1994-07-05,"Germany",4000000
"Robin Hack",1998,"de GER","MF","Gladbach","de Bundesliga",26,8,320,1,0,11,4,1,0,"Robin Hack",NA,"Robin Hack","Robin Hack","Borussia Mönchengladbach","bundesliga","Attack","Left Winger",1998-08-27,"Germany",7000000
"Robin Hranáč",2000,"cz CZE","DF","Hoffenheim","de Bundesliga",25,29,2251,1,0,8,3,5,0,"Robin Hranac",NA,"Robin Hranac","Robin Hranac","TSG 1899 Hoffenheim","bundesliga","Defender","Centre-Back",2000-01-29,"Czech Republic",10000000
"Robin Koch",1996,"de GER","DF","Eintracht Frankfurt","de Bundesliga",29,32,2833,3,1,15,5,3,1,"Robin Koch",NA,"Robin Koch","Robin Koch","Eintracht Frankfurt","bundesliga","Defender","Centre-Back",1996-07-17,"Germany",10000000
"Robin Le Normand",1996,"es ESP","DF","Atlético Madrid","es La Liga",28,28,1789,1,1,6,1,5,0,"Robin Le Normand",NA,"Robin Le Normand","Robin Le Normand","Atlético de Madrid","laliga","Defender","Centre-Back",1996-11-11,"Spain",20000000
"Robin Risser",2004,"fr FRA","GK","Lens","fr Ligue 1",20,33,2970,0,1,0,0,2,0,"Robin Risser",NA,"Robin Risser","Robin Risser","RC Lens","ligue-1","Goalkeeper","Goalkeeper",2004-12-02,"France",30000000
"Robin Roefs",2003,"nl NED","GK","Sunderland","eng Premier League",22,35,3150,0,0,0,0,4,0,"Robin Roefs",NA,"Robin Roefs","Robin Roefs","Sunderland AFC","premier-league","Goalkeeper","Goalkeeper",2003-01-17,"Netherlands",28000000
"Robin Zentner",1994,"de GER","GK","Mainz 05","de Bundesliga",30,10,876,0,0,0,0,2,1,"Robin Zentner",NA,"Robin Zentner","Robin Zentner","1.FSV Mainz 05","bundesliga","Goalkeeper","Goalkeeper",1994-10-28,"Germany",2500000
"Robinio Vaz",2007,"fr FRA","FW","Marseille","fr Ligue 1",18,26,595,5,2,13,8,2,0,"Robinio Vaz",NA,"Robinio Vaz","Robinio Vaz","Olympique Marseille","ligue-1","Attack","Centre-Forward",2007-02-17,"France",18000000
